,Job Title,Company Name,City,Region,Workplace Type,Work Type,Experience,Company Size,Industry,Job Description,Job Link,Industry_cleaned,Company_Size_cleaned,Job_Title_cleaned,Job_Title_cleaned2,Years_exp,liststring,Job_skills
148,Data Analyst,Delft University of Technology,Delft, South Holland,On-site,Full-time,Entry level,"5,001-10,000 employees",Research Services,"""vind je het leuk en uitdagend om bestuurlijke en managementinformatie uit data te halen, te analyseren en hierover te adviseren? dan is deze functie je op het lijf geschreven! functieomschrijving de faculteit werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me) verricht baanbrekend onderzoek dat leidt tot uitdagende toepassingen en nieuwe fundamentele inzichten op het gebied van werktuigbouwkunde. van grootschalige energieopslag, medische instrumenten, regeltechniek en robotica, tot slimme materialen, structuren op nanoschaal en autonoom varende schepen. de basis en resultaten van dit onderzoek vinden hun weerslag in uitstekend en modern onderwijs dat studenten opleidt tot maatschappelijk betrokken en verantwoordelijke ingenieurs en onderzoekers. de faculteit 3me is een dynamische en innovatieve faculteit met een internationale scope en hightech lab-faciliteiten. onderzoek en onderwijs richten zich op ontwerp, productie, toepassing en verbetering van producten, materialen, processen en mechanische apparaten en dragen zo bij aan de ontwikkeling en groei van een duurzame samenleving en aan welvaart en welzijn. tu delft functie-eisen je hebt aantoonbaar hbo+ werk- en denkniveau. je hebt kennis van data-analyse, datamanagement en bij voorkeur ook van informatiemanagement. je hebt ervaring met data-analyseâ€“tools / visualisatie tools en weet je nieuwe systemen snel eigen te maken. je hebt een groot analytisch vermogen en bent in staat om jouw analyses en uitleg aan te passen aan de verschillende doelgroepen binnen de faculteit. je hebt uitstekende mondelinge en schriftelijke communicatievaardigheden, zowel in het nederlands als in het engels. je herkent je in de volgende woorden: collegiaal, proactief, integer, kan gemakkelijk prioriteren, goed zelfstandig werken en durft (kritische) vragen te stellen. je hebt gevoel voor hoe te werken met persoonlijke en andere vertrouwelijke informatie. je hebt gevoel voor bestuurlijke processen en bent in staat de faculteit te vertegenwoordigen in verschillende overleggen binnen de universiteit. een uitstekende mondelinge en schriftelijke beheersing van de nederlandse taal is een vereiste. je hebt een goede mondelinge en schriftelijke beheersing van de engelse taal. je hebt een eu-werkvergunning of de nederlandse nationaliteit. arbeidsvoorwaarden de functie heeft een omvang van minimaal 32 of 38 uur per week (0,8-1,0 fte). aanstelling is voor een jaar, met uitzicht op een vast contract. de functie is ingeschaald conform cao van de nederlandse universiteiten, schaal 10 of schaal 11 (min. â‚¬ 2.960,- bruto p/m tot max. â‚¬ 5.439,- bruto p/m per maand op basis van 1,0 fte). inschaling is afhankelijk van kennis, opleiding en ervaring. een salaris volgens de cao van de nederlandse universiteiten, plus 8% vakantiegeld en een eindejaarsuitkering van 8,3%. een uitstekende pensioenregeling via het abp. de mogelijkheid om jaarlijks een individueel arbeidsvoorwaardenpakket samen te stellen. korting bij zorgverzekeraars. flexibele werkweek. jaarlijks 232 verlofuren (bij 38 uur). via het individueel keuzebudget kun je bovendien verlofuren verkopen of bijkopen. volop mogelijkheden om opleidingen, trainingen en cursussen te volgen. gedeeltelijk doorbetaald ouderschapsverlof. aandacht voor gezond en energiek werken met het vitaliteitsprogramma. tu delft de technische universiteit delft heeft een sterk fundament. als bouwer van de wereldberoemde nederlandse waterwerken en pionier in biotech is tu delft tu delft tu delft tu delft -gemeenschap levendiger en de wereld rechtvaardiger maakt. samen bedenken en ontwikkelen we oplossingen die een positieve invloed hebben op wereldwijde schaal. daarom nodigen we jou uit om te solliciteren. je sollicitatie krijgt een eerlijke behandeling. faculteit werktuigbouwkunde, maritieme techniek en technische materiaalwetenschappen de faculteit 3me verricht baanbrekend onderzoek dat leidt tot uitdagende toepassingen en nieuwe fundamentele inzichten op het gebied van werktuigbouwkunde. van grootschalige energieopslag, medische instrumenten, regeltechniek en robotica, tot slimme materialen, structuren op nanoschaal en autonoom varende schepen. de basis en resultaten van dit onderzoek vinden hun weerslag in uitstekend en modern onderwijs dat studenten opleidt tot maatschappelijk betrokken en verantwoordelijke ingenieurs en onderzoekers. de faculteit 3me is een dynamische en innovatieve faculteit met een internationale scope en high-tech lab-faciliteiten. onderzoek en onderwijs richten zich op ontwerp, productie, toepassing en verbetering van producten, materialen, processen en mechanische apparaten en dragen zo bij aan de ontwikkeling en groei van een duurzame samenleving en aan welvaart en welzijn. additionele informatie voor meer informatie over deze vacature, neem contact op met c.a. brokerhof, faculteitssecretaris, e-mail: c.a.brokerhof@tudelft.nl. sollicitatieprocedure heb je interesse? upload uiterlijk 9 februari 2023 een pre-employment screening kan onderdeel uitmaken van de selectieprocedure. sollicitaties die per email en/of post worden verstuurd nemen we niet in behandeling. acquisitie naar aanleiding van deze vacature wordt niet op prijs gesteld. voor vragen over de sollicitatieprocedure kun je contact opnemen met irina bruckner, hr adviseur, e-mail: recruitment-3me@tudelft.nl.""",/jobs/view/3436250142/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=uKwGjcUvQChZW%2B2BuMpFUA%3D%3D&trk=d_flagship3_search_srp_jobs,Research Services,"5,001-10,000 employees",Data Analyst,Data Analyst,[],,[]
149,Informatie Analyst Bi   Public Transport,CGI Nederland,The Randstad,Netherlands,Hybrid,Full-time,Associate,"1,001-5,000 employees",IT Services and IT Consulting,"""ben jij een ervaren informatie analist en wil je met veel passie voor je vak aan de slag bij onze klanten? en vind je een omgeving belangrijk waar vrijheid, teamspirit en ondernemerschap onderdeel zijn van het dna? dan nodigen wij jou graag uit om verder te lezen! onze klanten in de spoorse omgeving maken de transformatie naar een data-gedreven organisatie. het belang van uitstekende ict-voorzieningen wordt steeds groter om processen goed te laten verlopen en te innoveren. alles om klanten nog beter van dienst te kunnen zijn. als partner draagt cgi al jaren bij aan het succes van onze klanten en zijn we op zoek naar nieuwe collegaâ€™s. wat ga je doen? als een echte vakspecialist lever jij jouw toegevoegde waarde in een hecht agile team tijdens de sprints. op het raakvlak van it en business ontwikkel en verbeter je informatie oplossingen voor klanten. met een goed begrip van de klantorganisatie en het stellen van de juiste vragen analyseer je (nieuwe) klanteisen en -wensen. rekening houdend met (architectuur)kaders vertaal je deze naar user stories voor de backlog die je helpt refinen. samen met jouw team werk je de impact en aanpak uit om vervolgens de best passende bi oplossing te realiseren. daarnaast kun je gevraagd worden activiteiten uit te voeren als: â€˘ het data-driven analyseren en ontwerpen van bestaande en nieuwe processen â€˘ het maken van logische datamodellen op basis van brondata â€˘ het ontwerpen van datavault 2.0 modellen verder ondersteun je het team met goede feedback op de uitvoering en resultaten en ontvang je feedback om te groeien. op die manier draag je bij aan betere oplossingen voor de klant en het zelfsturend vermogen van het team. je werkt meestal op locatie van onze klant. wat breng je mee? je beschikt over goede communicatieve vaardigheden, en je bent een echte teamplayer die pragmatisch, resultaat- en klantgericht is. ook ben je snel van begrip en heb je een flexibele instelling. daarnaast vragen wij: â€˘ een afgeronde hbo- of wo-opleiding â€˘ 5 jaar recente ervaring als informatieanalist in een bi/dwh omgeving â€˘ aantoonbare werkervaring in een agile (scrum)team â€˘ aantoonbare ervaring met het adviseren van meerdere klanten op jouw vakgebied â€˘ ervaring met het adviseren over technische vraagstukken op verschillende niveaus in â€˘ ervaring met het opstellen van use cases, user stories en story maps â€˘ ervaring met het eliciteren, afstemmen en definiă«ren van requirements in complexe â€˘ ervaring met het uitvoeren van bronanalyses, sql en integratievraagstukken â€˘ ervaring met het modelleren in data vault 2.0 â€˘ kennis van data-analyse en dwh/bi/aa-ontwikkelprocessen â€˘ kennis van en ervaring met verschillende type databases en primaire systemen â€˘ kennis van sparx enterprise architect of soortgelijke modelleertool â€˘ uitstekende beheersing van de nederlandse taal in woord en schrift het is een grote pră© als je ook beschikt over: â€˘ kennis van relevante wet- en regelgeving â€˘ ervaring met de transportsector â€˘ kennis van uml, use case modeling, xml/xsd en ireb-certificatie â€˘ kennis van tools als apache nifi, eventhub, sas eg, sas di, azure dataexplorer, azure waar kom je terecht? je komt als informatie analist bi te werken binnen de sector space, transport & logistics naast ons werk bij de klant delen we ook kennis en discussiă«ren we met collegaâ€™s binnen de change management practice over nieuwe ontwikkelingen binnen jouw specialisatie; met als doel inzichten die leiden tot tastbare oplossingen die passen in de digitale transformatie-reis van onze klanten. ons aanbod? direct een vaste baan met marktconform salaris, en de mogelijkheid om aandeelhouder te worden en zo mee te delen in onze successen. via de cgi academy bieden we de mogelijkheid om je verder te blijven ontwikkelen door opleidingen en trainingen te volgen. je krijgt een plek in onze hechte community waar we samen met elkaar de verantwoordelijkheid van projecten dragen en klantverwachtingen overtreffen. een rol in ons cgi-verhaal! are you ready to be part of our story? solliciteer direct! we nemen dan zo snel mogelijk contact met je op. vragen over de functie? stel ze aan nick lubout, director consulting services, via +31 6 8317 8664 of via nick.lubout@cgi.com. voor meer informatie over de sollicitatieprocedure kun je terecht bij niki haringsma, recruitment business partner via (+31)657061091 of via niki.haringsma@cgi.com. wij werken niet samen met externe recruitment-partijen. acquisitie naar aanleiding van onze vacatures wordt daarom niet op prijs gesteld. wat mag je van ons verwachten: bouwen met en op elkaar technologie is het hart van de digitale transformatie van ons en onze klanten, maar onze mensen zijn het hart van zakelijk succes. als member van cgi ben je vanzelfsprekend een specialist in je vakgebied ă©n een betrouwbare adviseur voor je klant. je werkt samen met je collegaâ€™s aan concrete en duurzame resultaten die heel nederland â€“ en ver daarbuiten â€“ draaiende houden. elke dag heeft jouw werk impact. je bent een 'member' omdat je shareholder en eigenaar van cgi bent. samen bouwen we aan een bedrijf waar we trots op kunnen zijn. al sinds 1976 is dit onze droom en die heeft ons gebracht waar we nu zijn: een van 's werelds grootste onafhankelijke leveranciers van it-diensten en bedrijfsadvies. bij cgi weten we dat diversiteit onmisbaar is. daarom streven we op de werkvloer naar een inclusieve cultuur waarin er plek is voor iedereen. zowel bij ons als bij onze klanten. we strijden voor gelijke kansen en willen dat al onze werknemers kunnen slagen en groeien. daar helpen we graag bij. klaar om deel uit te maken van ons succesverhaal? word member van cgi! hier maken jouw ideeă«n en acties het verschil.""",/jobs/view/3451849492/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=xoGgN4Qvt8anY4fxc9qluw%3D%3D&trk=d_flagship3_search_srp_jobs,IT Services and IT Consulting,"1,001-5,000 employees",Informatie Analyst Bi  Public Transport,Informatie Analyst Bi  Public Transport,['5 jaar'],5 jaar,"['sql', 'sas', 'azure']"
150,Data Analyst   Travel & Leisure Payments,Harnham,Amsterdam, North Holland,On-site,Full-time,Mid-Senior level,201-500 employees,Staffing and Recruiting,"""senior data analyst up to 73,000 + 10% annual bonus and company-exclusive benefits hybrid amsterdam this company works within the travel sector and is looking for an experienced data analyst to join their payments team. you can expect to work with the finest tools in the industry. in addition to this, enjoy a flexible working week either working from home or in their state-of-the-art office. this is the kind of opportunity that will make waking up to go to work feel enjoyable. the company this tech company work is one of the most well-known bands globally for your travel needs and specialise in package holidays, flights, and hotels. they are expanding their new functions currently and have great ambitions for their future. they take pride in their bright work culture and encourage producing the most enjoyable and comfortable work environment that brings productivity to their team but also a job satisfaction like no other. the role as a senior data analyst, you can expect to work within the global accounting team, you will be responsible for generating data driven analysis, reporting, running root cause analysis and data reconciliations to support business stakeholders. working independently on mining data and cleaning. act as the lifeline between the interface between business and team, brining valuable insights to business stakeholders. reporting to stakeholders of different technical backgrounds, clearly and effective when communicating. visualisation of data and creating dashboards using power bi, tableau etc. using your innovative critical thinking to bring tactical and insight needs on business and technological opportunities. working with big data loads working with financial metrics your skills and experience the successful senior data analyst will have the following skills and experience: you have full proficiency using sql, coding from scratch (or similar) managerial experience and excellent people skills experience the ability to critically think and recognize patterns within structured data with predictive data. preferred knowledge with python/pyspark experience using power bi and similar data visualisation tools knowledge of cloud technologies such as azure is a plus the benefits the successful senior data analyst will receive a competitive of up to 73,000 per year plus an annual bonus of 10%. in addition, a revolutionary hybrid work model allows for flexibility in your life. how to apply please register your interest by submitting your cv to the apply link on this page or message naim bourhaba on linkedin directly.""",/jobs/view/3398051168/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=TXkr7pYK7jWwL%2BZDXAB%2Fiw%3D%3D&trk=d_flagship3_search_srp_jobs,Staffing and Recruiting,201-500 employees,Data Analyst  Travel & Leisure Payments,Data Analyst,[],,"['tableau', 'power bi', 'azure']"
151,Data Analyst Energiebeheer,Joulz,Delft, South Holland,On-site,Full-time,Entry level,201-500 employees,Utilities Administration,"""functie-eisen arbeidsvoorwaarden""",/jobs/view/3453480521/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=X%2Bn4ejHSl1GXDL7C9vvEpA%3D%3D&trk=d_flagship3_search_srp_jobs,Utilities Administration,201-500 employees,Data Analyst Energiebeheer,Data Analyst,[],,[]
152,Biostatistician 2   Global Bios,IQVIA,Amsterdam, North Holland,Hybrid,Full-time,Full-time,"10,001+ employees",Hospitals and Health Care,"""biostatistician 2 global biostatistics home-based/hybrid: emea & uk join us on our exciting journey! the global biostatistics (data sciences, safety & medical) team at iqvia are experienced in submissions for all major regions; working together with key groups such as, global regulatory affairs, safety, project and data management, and medical writing, to drive efficiency and accountability. job overview: as a biostatistician 2, you will be given access to cutting-edge, in-house technology and opportunities to work on global projects across a variety of therapeutic areas. bsc or msc degree in biostatistics or related field, and 2-4 yearsâ€™ relevant experience within the life-science industry familiarity with moderately complex statistical methods that apply to applicable clinical trials good working knowledge of sas and cdisc ability to effectively manage multiple tasks and projects. from camaraderie to professional development, working at iqvia provides unique opportunities to advance your career alongside a group of diverse and talented colleagues. what is in it for you? global exposure variety of therapeutic areas collaborative and supportive team environment access to cutting-edge in-house technology excellent career development and progression opportunities work-life balance join us embrace your curiosity and grow your career in an exciting environment where development is a priority. whatever your career goals, we are here to ensure you get there! iqvia is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. we believe in pushing the boundaries of human science and data science to make the biggest impact possible â€“ to help our customers create a healthier world. learn more at https://jobs.iqvia.com""",/jobs/view/3438121551/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=X1V3gik%2FGdNqIqTegBlDow%3D%3D&trk=d_flagship3_search_srp_jobs,Hospitals and Health Care,"10,001+ employees",Biostatistician 2  Global Bios,Biostatistician 2  Global Bios,['2-4 years'],2-4 years,['sas']
153,Data Analyst ( 4 7 Years),Sigmaways Inc,Amsterdam, North Holland,Hybrid,Contract,Associate,51-200 employees,IT Services and IT Consulting,"""we seek a senior data analyst to support the ilo : in setting up its reference data model, assist the teams in coming up with the best practices for managing master, transactional and operational data and define critical metrics and baselines to track to answer business-critical questions in the context of fms. location: amsterdam office twice a week, rest remote. the scope of the consultant services is to assist. data modeling: define and publish robust data models to support analytical requirements around data from data products at ilo. data warehouse design: shape iloâ€™s data foundation architecture and evolve the data governance framework to meet ever-changing requirements. performance optimization: monitor costs associated with data transformations and utilize dbt and bigquery to optimize performance. data quality: define and champion best practices around data quality at ilo, ensuring data models are complete with documentation and validation tests. data literacy: embed data literacy at ingka through coaching the engineering teams, presenting your work regularly, and contributing to knowledge-sharing sessions. knowledge, experience, competence, skills etc 3 - 5 years' experience as an analytics engineer, data scientist, or data engineer with a focus on data an extensive background in analytics, computer science, engineering or equivalent (at least ms or equivalent) sql mastery data modeling dashboarding/data storytelling skills. experience with a tool like dbt or dataform experience with a bi tool (preference towards power bi) experience working in a cloud environment e.g. google cloud. an analytical mindset with strong attention to details ability to synthesize data into a clear story.""",/jobs/view/3450971274/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=kgmeNGgieSOFd4jFkb7OqA%3D%3D&trk=d_flagship3_search_srp_jobs,IT Services and IT Consulting,51-200 employees,Data Analyst,Data Analyst,['5 years'],5 years,['sql']
154,Data Analyst Bedrijfsvoering,Logius,The Hague, South Holland,On-site,Full-time,Full-time,"501-1,000 employees",IT Services and IT Consulting,"""help logius met behulp van data-analyses inzicht te krijgen in de bedrijfsvoering. jij brengt in kaart welke data al beschikbaar zijn, wat de organisatie hiermee kan en waar nog behoefte aan is. dit alles om de voorspelbaarheid in de bedrijfsvoering te vergroten. als data-analist bij dă© digitale dienstverlener van het rijk in den haag zet je je dagelijks in voor een goed functionerende digitale overheid. van vraag tot presentatie: jij bent bij het hele proces van data-analyse betrokken binnen het nieuwe team data bedrijfsvoering stuur jij samen met je collega's aan op steeds meer datagedreven werken. logius zet momenteel grote stappen op dit gebied om zo meer inzicht in de voorspelbaarheid van de bedrijfsvoering te krijgen. het is jouw doel om naar antwoorden te zoeken op vragen als: wat is de kwaliteit van de beschikbare data, hebben verschillende eindgebruikers hier behoefte aan en hoe presenteren we die data? met jouw data-analyses, dashboards en predictive analytics maak je dus echt het verschil in de bedrijfsvoering van logius. ook houd jij je bezig met het: jij staat dagelijks in contact met diverse mensen: van controllers tot hr-medewerkers en van managers op het hoogste niveau tot administratief medewerkers. de ene collega is beter op de hoogte van welke mogelijkheden werken met data biedt dan de andere. het is een interessante uitdaging om erachter te komen hoe verschillende collega's hierover denken en hoe je hen hierover het beste informeert. functie-eisen jij houdt van data, weet wat de mogelijkheden van data zijn en kunt ook anderen hiervoor enthousiasmeren. kom je zelf ergens niet uit? dan aarzel je niet om de hulp van een ervaren collega in te schakelen. verder heb je: arbeidsvoorwaarden salarisniveau schaal 11 maandsalaris:""",/jobs/view/3439160169/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=bTm80XtJ45EUltKVd6xyVA%3D%3D&trk=d_flagship3_search_srp_jobs,IT Services and IT Consulting,"501-1,000 employees",Data Analyst Bedrijfsvoering,Data Analyst,[],,[]
155,Journey Analytics Consultant,Genesys,Naarden, North Holland,Hybrid,Full-time,Mid-Senior level,"5,001-10,000 employees",Software Development,"""we are looking for a talented journey analytics consultant who has demonstrated success independently crafting and delivering data-driven answers to complex customer experience problemsâ€”preferably in a high-velocity, client-facing environment. you will work directly with genesys customers, plan and spearhead their adoption of the platform, and guide them to problem-solving excellence. you are a great fit for this role if you naturally turn to data to answer difficult challenges. you love that feeling of generating surprise and excitement during executive presentations. you are passionate about telling compelling stories which combine strategic thinking with data and visualizations. you enjoy delivering clear-cut insights and recommendations via a crystalline storyline, and you know the craft of composing a killer presentation. key responsibilities: the journey analytics consultant role is an integral part of the journey management services team. in this team, we ensure our customers are successful adopters of pointillist through an onboarding and management process that is personalized, efficient, and agile. our mission in journey management services is to closely understand our customersâ€™ aspirations and business challenges and helping them derive the most value from the pointillist platform. work directly with new and existing pointillist customers to understand their most pressing and challenging business questions work with your analytics and insights peers to build repeatable solutions to customerâ€™s journey analytics needs use the pointillist platform to reveal insights and drive critical customer decisionsâ€”coaching pointillistâ€™s customers to do the same for themselves partner with the product team to envision new features to the pointillist platform based on your first-hand understanding of user needs consult with the sales team to develop compelling value propositions based on your understanding of business strategy and pointillist capabilities become a subject matter expert in the growing practice of customer journey analytics act as an ongoing, primary point of contact and trusted advisor for your customers as they deepen their adoption of the pointillist platform minimum requirements: a bachelorâ€™s degree (stem preferred) a relevant master program is a bonus experience as a client-facing analyst or consultant in a top-tier management consultancy or similar high-performance organization experience working in the financial, healthcare/insurance, retail, or telecom space where you have a broad understanding of industry, trends, business models, challenges, opportunities, etc. passion and understanding for cx transformations to enable our customers to become customer-centric demonstrated prowess in finding data-driven solutions to complex business questions a strong ability to craft logical, compelling stories from data visualizations and a track record of successfully delivering those insights to senior executive leadership a passion for new technologiesâ€”specifically those related to data analytics and ai. demonstrated experience managing multiple workstreams and collaborating across teams a desire to work directly with customers to understand their business goals and coach them to success a history of self-led achievements demonstrating creativity, initiative, and drive comfortable with 10-25% travel others describe you as ... an influencer: you have an ability to spot opportunities and influence the larger team to get behind big ideas a self-starter: you have a positive, can-do attitude and sense of urgency to bring projects to closure in a timely manner an expert: you strive to be a customer, product, and competitive expert. sales, marketing, and engineering teams go to you for expertise and recommendations agile: you thrive in fast-paced environments, are adaptable to change, and are undaunted by deadlines metric-driven: you use facts and data to understand what works, make decisions, and maximize results reasonable accommodations: genesys is committed to providing an inclusive barrier-free environment, starting with the hiring process. if you require a reasonable accommodation to complete any part of the application process or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you or someone you know may complete the reasonable accommodations form for assistance. please use the candidate field in the dropdown menu to ensure a timely response. this form is designed to assist job seekers who seek reasonable accommodation for the application process. submissions entered for non-accommodation-related issues, such as following up on an application or submitting a resume, may not receive a response. about genesys: every year, genesysâ® orchestrates more than 70 billion remarkable customer experiences for organizations in more than 100 countries. through the power of our cloud, digital and ai technologies, organizations can realize experience as a serviceâ„ , our vision for empathetic customer experiences at scale. with genesys, organizations have the power to deliver proactive, predictive, and hyper personalized experiences to deepen their customer connection across every marketing, sales, and service moment on any channel, while also improving employee productivity and engagement. by transforming back-office technology to a modern revenue velocity engine genesys enables true intimacy at scale to foster customer trust and loyalty. visit www.genesys.com genesys is an equal opportunity employer committed to diversity in the workplace. we evaluate qualified applicants without regard to race, color, age, religion, sex, sexual orientation, gender identity or expression, marital status, domestic partner status, national origin, genetics, disability, military and veteran status, and other protected characteristics. please note that recruiters will never ask for sensitive personal or financial information during the application phase.""",/jobs/view/3450099647/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=XGk9gXOSfzyJXFR3XVRwzg%3D%3D&trk=d_flagship3_search_srp_jobs,Software Development,"5,001-10,000 employees",Journey Analytics Consultant,Journey Analytics Consultant,[],,[]
156,Proces  En Informatieanalyst (Pia),PostNL,The Hague, South Holland,Hybrid,Full-time,Full-time,"10,001+ employees",Truck Transportation,"""wat ga je doen? als proces- en informatieanalist (pia) evalueer je onze bedrijfsprocessen. je bent een belangrijke schakel in het opstellen van epics en features die leiden tot structurele verbeteringen. in deze functie kijk je met name naar ons sorteerproces. â€śhoe kunnen we onze sorteerproces năłg efficiă«nter inrichten?â€ť, die vraag staat centraal. je vertaalt business requirements naar functionele- en informatie requirements. hiervoor verdiep je je in doelarchitectuur van zowel de bedrijfsprocessen als het applicatielandschap. met de domein- en solutionarchitect, product owners en de solution consultants werk je nauw samen. zo draag je bij aan de meest optimale oplossing voor de business. een analytische ă©n creatieve blik is hiervoor cruciaal! als pia word je flexibel ingezet binnen agile teams, een agile release train of trajecten binnen het organisatieonderdeel bit mailnl en werk je nauw samen met verschillende (agile) teams. je opereert comfortabel in een complexe stakeholderomgeving met vele gebruikersniveaus (van operationeel tot uitvoerend). je kunt op het juiste niveau reageren op veranderingen en snel schakelen is cruciaal. onze ambitie we willen de favoriete bezorger van nederland zijn door iedere dag weer bijzondere momenten te bezorgen. daarbij staan onze medewerkers voorop en onze klanten centraal. we zoeken altijd naar manieren om het noěg beter te doen. en daar hebben we jou bij nodig. dankzij jou verbeteren we de voorspelbaarheid van de volumes en operationele planning voor de (nabije) toekomst, waardoor de kwaliteit van postbezorging verbetert en de klanttevredenheid omhooggaat. bij de afdeling bit mailnl van postnl werken ongeveer 35 mensen. we zijn er voor alle afdelingen die zich bezighouden met brieven of logistieke oplossingen. we zijn deel van postnl it, dat steeds belangrijker wordt binnen postnl. postnl it maakt beleid en bedenkt strategieă«n, en verbetert en vernieuwt alle it van postnl. postnl it is verantwoordelijk voor alle trajecten waarbij it nodig is. wat breng jij mee? wat bezorgen we jou? postnl wil de favoriete bezorger zijn voor iedereen. dus is ook iedereen welkom bij ons en maakt het niet uit waar je bent geboren, waar je in gelooft en van wie je houdt. het gaat ons om jouw unieke talent. wil je solliciteren op de functie van proces & informatieanalist? wij zien uit naar je reactie op de vacature. wij ontvangen graag je cv en motivatie. wil je graag meer informatie over de vacature? neem dan contact op met rudy van zuilekom, teammanager projectmanagement & proces- en informatieanalyse (06 53 70 43 15) of aytor jongkind, corporate recruiter it (06 51 92 77 50 of aytor.jongkind@postnl.nl). sollicitatieproces 1. sollicitatie bedankt voor je sollicitatie! je krijgt binnen vijf werkdagen een reactie van onze recruiter. 2. telefonisch contact hebben we vragen over je cv of motivatie, dan bellen we je. 3. gesprekken afhankelijk van de functie heb je ă©ă©n of meerdere gesprekken met onze recruiter, je toekomstige manager en directe collegaâ€™s. het eerste gesprek zal meestal online via video zijn. 4. aanbieding je ontvangt per e-mail een arbeidsvoorwaarden aanbod. 5. nieuwe baan je ondertekent je contract digitaal. welkom bij postnl!""",/jobs/view/3367401762/?alternateChannel=search&refId=muJi%2Bo4LZMobb0Q6E4PkFQ%3D%3D&trackingId=gTwJVJo2rk3C2kjYmPw29A%3D%3D&trk=d_flagship3_search_srp_jobs,Truck Transportation,"10,001+ employees",Proces En Informatieanalyst,Proces En Informatieanalyst,[],,[]
157,Data Analyst,Independent Recruiters,Amsterdam, North Holland,On-site,Full-time,Mid-Senior level,11-50 employees,Staffing and Recruiting,"""take a step into the most revolutionary transition to zero-emission transportation in europe! are you an experienced senior data analyst with affinity in the area of navigation, planning, fleet management or logistics? do you have a background in data-driven and customer-centric product development? then you are the data analyst for a game changing startup in amsterdam. read on! a number of leading truck manufacturers joined forces to take a long awaited major step to contribute to reaching climate targets. the joint venture will build a charging network, accessible for all heavy commercial vehicles, whatever their brand. as data analyst you'll build reports, visualizations and insight that support the business. further, you will determine if a business request can be answered with a report, visualizations or other data solutions. you'll work closely with the products and services team, operations and it. you will discuss the business questions with the product owner and set the requirements for the data development. responsibilities: build reports, visualizations and insight that support the business; translate business questions into data specifications; set the requirements for data process development. bsc or msc in mathematics, software engineering, econometrics, statistics., data science etc; 5+ years of experience in the area of navigation, planning, fleet management or logistics transport; expert level of powerbi, sql skills, python, excel, databricks; background in data-driven and customer-centric product development; excellent english. this revolutionary company is offering base salary level (all in) oriented towards 70.000 eur without the incentives. according to your impact, developments and results the annual incentive is between 20% - with a maximum of 40%. how we'll proceed. within four working days we will let you know if you qualify for the position. we will schedule an introductory interview, either digitally or in-person. during this interview we will inform you as fully as possible about the vacancy, the company and the following steps in the procedure. after consulting with you, we will introduce you to our client and then continue to guide you through the application process. the independent recruiters group has a large team of specialized recruiters. each recruiter has a strong focus on their own area of expertise. this makes them the ideal sparring partner for both the candidate and the client.""",/jobs/view/3451947989/?alternateChannel=search&refId=Dwg978dvKjCkaTRIZhOLXw%3D%3D&trackingId=Pnmaf80%2FOdv20tSqTFGRjA%3D%3D&trk=d_flagship3_search_srp_jobs,Staffing and Recruiting,11-50 employees,Data Analyst,Data Analyst,['5+ years'],5+ years,['sql']
